Лужа не сохнет по несколько дней||Лужа|не сохнет|дней  
За два раза так и не смогли ничего сделать так же стоят и продают эта же синяя Газель с товаром всё так же стоит на том же местеМожет с третьего раза сможете решить проблему||Газель|стоит|месте  
Киоск Свежий хлеб затрудняет уборку снега и проход на карте портала его нет||Киоск|затрудняет|уборку  снега
Уже прошло 15 месяца как аварийная служб а Водоканала оставила бетонные сваи на 2х платных парковочных местах и не собирается их убирать||Водоканала|оставила|сваи  
Лестница требует капитального ремонта как с точки зрения травмоопасности так и с точки зрения ее внешнего вида который не соответствует прилегающим территориям благоустроенным прошлым летом||Лестница|требует|ремонта  
Дворники все время оставляют свои вещи что недопустимо||Дворники|оставляют|вещи  
ПК 178 расположенный между четной стороной улицы Лукинская и районом Переделкино Ближнее просто завален мусором||ПК|завален|мусором  
Мусор разлетается по всему парковому комплексу кучи мусора лежат на самодельных пикниковых полянах||Мусор|разлетается|комплексу  
Уже несколько дней не убирают с остановки Бассейн в сторону Маршала Жукова||Бассейн|не убирают|остановки  
Мусор перемещен на несколько метров в сторону от прежнего места||Мусор|перемещен|метров  
Цемент был сильно разведенный с песком||Цемент|разведенный|песком  
Сотрудникт гбу жилищник даниловского района постоянно устраивают свалку у ворот здания||Сотрудникт|устраивают|свалку  
Свалка пополняется благодаря тракторам и закидывается снегом ломая кустарники и деревья||Свалка|пополняется|тракторам  
Свалка постоянно образуется на этом участке||Свалка|образуется|участке  
Дворники постоянно захламляют площадку под окнами постоянно ставят контейнер для мусора||Дворники|захламляют|площадку  окнами
Лестница служащая спуском с придомовой территории на ул Карьер находится в совершенно неудовлетворительном состоянии||Карьер|находится|состоянии  
После установки новой спортивной коробки на аллее по адресу ул Кантемировская д 18 к 5  не произвели уборку территории вокруг||Кантемировская|не произвели|уборку  территории
Забор с парком из прутьев и мусор летит в парк что приводит превращению пограничной территории в свалку||Забор|летит|парк  
Фургон перемести на другую сторону дома к пересечению ул Совхозная и пркт 40дет Октября||Фургон|перемести|сторону  
Реклама стоит на прежнем месте||Реклама|стоит|месте  
Между домами 27 и 2514 по ул Совхозная   стоит брошеный автомобиль на протяжении долго времени||Совхозная|стоит|протяжении  времени
С торца дома 2514 по ул Совхозная стоит брошеный автомобиль на протяжении долго времени||Совхозная|стоит|протяжении  времени
Дворники появляются только по жалобам||Дворники|появляются|жалобам  
Газель стоит уже больше полугода||Газель|стоит|полугода  
Мусор не вывозится по несколько дней||Мусор|не вывозится|дней  
Газоны на нечетной стороне улицы завалены упавшими деревьями бутылками салфетками и прочим||Газоны|завалены|деревьями  
Мусор сгребли в одну кучу и часть мусора загрузили в мусорный контейнер на территории так называемого городка стоит один полуразвалившийся контейнер и никаких рабочих там нет  просьба вывезти мусор с данной площадки||Мусор|сгребли|кучу  
Кожух не подошел по размеру и даже не сошелся||Кожух|подошел|размеру  
Добрый вечер хочу вернуться к проблеме захламления  по адресу Потаповский переулок3с5nС какой периодичностью должна убираться данная территорияnФотографии сделаны 0212 в 830nЗаранее спасибо||\\nФотографии|сделаны|спасибо  
Ковер и прочий мусор нагроможден на хозпристройку||Ковер|нагроможден|хоз.пристройку  
Свалка осталась на месте  во дворе||Свалка|осталась|месте  
Мешок стоит в неукрытом состоянии намокает и протекает под дождем или нагревается на солнце||Мешок|стоит|состоянии  
Сквер стал местом сбора алкоголиков которые курят мусорят блюют воняют и тдn2||Сквер|стал|местом  сбора
Все ТС имеют признаки долгого пребывания без движения||ТС|имеют|признаки  пребывания
Плитка разбита местами в просевшем виде часть плитки с отбитыми рифами не заменено||Плитка|разбита|местами  виде
nnОна выступает над уровнем асфальта минимум на сантиметрnnТакже нарушены правила укладки боковые направляющие плитки уложены не в ту сторонуnnСоветую работникам осуществлявшим данную работу ознакомиться с правилами укладки тактильной плитки||\\n\\nОна|выступает|уровнем  асфальта
Теретооия больницы находится в ужасным состоянием||Теретооия|находится|состоянием  
Те в данном случае не имеет смысл разово убрать там мусор и сообщить что устранили||Т.е|не имеет|смысл  
nМусор видно из дома напротив фото прилагается||\\nМусор|видно|дома  
Ступени шатаются по прежнему||Ступени|шатаются|прежнему  
Мусор и порубочные остатки передвинуты для отчётной фотографии||Мусор|передвинуты|фотографии  
Лестница находится в том же состоянии как и на день обращения||Лестница|находится|состоянии  
Ступеньки перекошены разной высоты||Ступеньки|перекошены|высоты  
nА по нормативам должны быть все ровно без ям  и плитка должна лежать подходящая  а не просто залитая цементом  как делают многие  кому из чиновников не дорого свое место||\\nА|должны|ям  
Вокруг всего дома 34 по ул Марксистская хронически не убирают снег и лед в итоге в течение всего зимнего периода дороги превращаются в настоящий каток||Марксистская|не убирают|снег  
Плитка ходит под ногами много сколов||Плитка|ходит|ногами  
Плитка уложена с ненадлежащим качеством в некоторых местах имеются большие зазоры или выступы над общим уровнем||Плитка|уложена|качеством  
Джем куплен в декабре 2016 года||Джем|куплен|декабре 2016 года
Магазин позиционирует себя как шаговая доступность но там дорого и как получается некачественно||Магазин|позиционирует|себя  
Мусор не вбирался месяц||Мусор|не вбирался|месяц  
Мусор навален прямо на асфальт вылетает на территорию крысы вонь||Мусор|навален|асфальт  
Мусор разлетается по всей прилегающей территории||Мусор|разлетается|территории  
Мусор не убирается с городской территории||Мусор|не убирается|территории  
Мусор находится на том же месте только за деревьями||Мусор|находится|месте  
Сообщения не отработаны Стройплощадка захламлена мусором||Стройплощадка|захламлена|мусором  
Так и будем отправлять запросы туда сюда или Вы наконец проведёте свою работу нормально||Вы|проведёте|работу  
Плитка была повернута на 90 градусов но это не решает проблему поскольку это переход с двумя взаимноперпендикулярными направлениями движения||Плитка|повернута|градусов  
Мусоровоз стоит на этом месте 2 года||Мусоровоз|стоит|месте 2 года
Третий год стоит ТС без движения и без номерных знаков||ТС|стоит|движения  
Самосвалы привозят бытовой мусор и сваливают в черте города||Самосвалы|привозят|мусор  
Лестница находится в прежнем аварийном состоянии||Лестница|находится|состоянии  
Балансосодержатель вообще не выполняет уборку территории||Балансосодержатель|не выполняет|уборку  территории
Мусор сваленный в кучу в центре города лежит на земле||Мусор|лежит|земле  
Жигули стоят уже больше года отсутствуют колеса салон двигатель мешает парковаться||Жигули|стоят|года  
Газель черного цвета все еще стоит на том же месте||Газель|стоит|месте  
Всю лестницу и перила съела ржавчинаnЛестница вся в дырахnПерила вдоль моста висят на ниточке  страшно на них опиратьсяnn||\\nПерила|висят|ниточке  
Поэтому постоянный мусор сборище непонятных элементов начлежка для так называемых таксистовnХотя бы проводите уборку||nХотя|проводите|уборку  
Уборка лелается только по факту написания сообщения сюда||Уборка|лелается|факту  написания
Лестница находится напротив 4 подъезда||Лестница|находится|подъезда  
Здравствуйте в сообщении с 10901851 я просила отремонтировать верхнюю ступеньку уличной лестницы по адресу гМосква ул Озерная д 31к2 и обратила ваше внимание на то что один из поручней шатается||Озерная|обратила|внимание  то
